nodeID,nodeLabel,communityID
0,2708910049,0
1,1967683524,1
2,2184282869,13
3,2401231216,40
4,2202722980,5
5,2147749467,8
6,2031511062,5
7,2889260319,46
8,2787844755,10
9,80234580,11
10,2762325060,24
11,2073258912,13
12,3208518836,5
13,2505131887,44
14,2730078178,17
15,2772231905,18
16,2284844172,33
17,196892631,2
18,2146993257,66
19,2144687818,10
20,2956767970,8
21,2919517010,22
22,2146808385,33
23,1459615554,85
24,3045874796,25
25,2072118359,8
26,3013436849,26
27,843538412,5
28,2888945966,5
29,2589477627,60
30,2168915712,84
31,2290783335,29
32,217647588,2
33,1249087476,30
34,2793580157,31
35,1970324047,32
36,3096834858,33
37,3156033228,45
38,2109030632,2
39,3097727134,26
40,2767958133,37
41,2031365815,33
42,222347150,60
43,2085754507,83
44,2405075229,90
45,336521046,17
46,2603727923,18
47,2938473249,0
48,2656164709,46
49,2160229950,22
50,2095897040,14
51,2783252809,9
52,1243857141,50
53,2306637130,89
54,87033770,52
55,2762671708,65
56,2997760568,33
57,2165997674,54
58,1747574842,5
59,89210159,55
60,2144439743,56
61,2107639702,58
62,1838761128,15
63,2119751722,81
64,2115124808,50
65,2088475721,9
66,2116228223,15
67,2420979879,17
68,2160407975,15
69,2900952461,80
70,2159735103,75
71,2143918670,56
72,2013816069,8
73,2758224755,52
74,2757818120,69
75,2781747238,70
76,1734352583,73
77,2007497975,37
78,2014647324,15
79,2178734671,80
80,2710308259,73
81,1755255714,30
82,2760562599,69
83,1984643998,14
84,1245677852,95
85,2223298102,1
86,1969348948,83
87,1931595785,33
88,2627975799,15
89,2963365989,80
90,2055215937,34
91,1208998086,46
92,2433945580,2
93,2075733359,35
94,2019334566,84
95,2751232208,70
96,2436706515,66
97,2790812546,84
98,2762729855,92
99,1850772891,86
100,2193088610,2
101,1964817952,33
102,2165165044,17
103,1247987006,25
104,1970549609,89
105,114551287,15
106,2652162475,22
107,3081876510,56
108,2227858171,91
109,2137278903,18
110,3039175499,35
111,2125724811,38
112,3012087893,8
113,2582996137,52
114,2015025544,8
115,2011449744,94
116,2033643122,92
117,2716548580,5
118,3038120432,60
119,2773963518,33
120,2316476455,8
121,2032006660,2
122,2136013954,54
123,243836399,60
124,2777184931,52
125,2115209729,37
126,2936900160,75
127,2513742135,75
128,2975190525,75
129,2158149580,66
130,2575199742,44
131,2299739207,37
132,2237546627,29
133,2631217459,54
134,1998795008,38
135,3098890848,91
136,2801522760,45
137,2794222363,24
138,185365466,33
139,240196232,5
140,2801827595,78
141,2132232111,81
142,1310713929,45
143,2552253590,73
144,1976866563,83
145,2156038360,73
146,1946361657,5
147,2559339929,25
148,2035251338,25
149,3016597540,65
150,2119698260,50
151,2113092053,85
152,2108893364,56
153,2905145650,85
154,2222607617,80
155,3124885924,84
156,2017156916,17
157,2026239133,18
158,2535595223,8
159,2514088881,88
160,2116713972,89
161,2507963215,13
162,2002139524,50
163,1843607284,90
164,2609790796,31
165,2163319504,87
166,2038006156,38
167,2896096475,92
168,2126371258,27
169,2143752183,89
170,2667504067,13
171,2110546734,8
172,3034131049,3
173,334358425,33
174,2622335329,5
175,2300853428,2
176,2789956121,87
177,2608056624,9
178,24966663,93
179,2001668422,2
180,1998207970,95
181,3076506421,33
182,2101274461,75
183,2082968799,75
184,2141819898,91
185,2618516325,17
186,2130280559,4
187,3036887077,17
188,2124856706,60
189,2414060010,28
190,2021922388,6
191,2098800878,27
192,371088778,85
193,2800959373,29
194,2137809549,65
195,2963282234,70
196,2422312186,33
197,2105748149,5
198,2144951385,4
199,2755456994,30
200,2011162670,75
201,2146880212,17
202,2798050243,69
203,2071125561,60
204,384146901,30
205,2789847945,7
206,2003916565,11
207,2421973563,9
208,3211690899,33
209,3161455903,0
210,3008520755,30
211,2949734134,30
212,2136663967,15
213,2619040810,46
214,2128395470,12
215,2117258598,10
216,2528107687,34
217,2096469249,14
218,2110725827,5
219,2995097213,26
220,3180306143,33
221,2710464780,2
222,2617662537,38
223,2065391143,16
224,2788334221,2
225,2312094102,19
226,3023751373,32
227,2021138801,84
228,1356000318,80
229,326692912,8
230,2792463818,10
231,2279068394,38
232,2062717798,93
233,2110169342,52
234,2174262044,2
235,2112293855,9
236,2144120499,15
237,2137686492,8
238,1684856085,75
239,2115871097,54
240,85963431,66
241,2120071713,58
242,2999540579,86
243,2186894088,89
244,680692112,14
245,2719401263,4
246,2339504334,20
247,2947880766,91
248,2924799069,50
249,2502912270,30
250,2770860267,56
251,1990829035,30
252,2010503828,89
253,2728295451,84
254,2478549729,17
255,2564806504,53
256,2689931505,50
257,2556905114,20
258,2462994293,2
259,2752814422,70
260,3112478580,3
261,2101339463,52
262,2166545604,56
263,1922853032,16
264,2537171225,33
265,2048653896,87
266,2115254318,84
267,2481179950,2
268,2945396564,27
269,2006388513,2
270,1994686122,2
271,2067930792,33
272,2009078738,13
273,2050369890,75
274,2563866011,84
275,2788025789,27
276,2097893673,66
277,2696275267,60
278,2150859079,87
279,2147656755,33
280,2742936624,44
281,2883423311,85
282,2582433706,73
283,2604442669,18
284,3149818715,32
285,2711915000,46
286,2340405397,23
287,2148596313,14
288,2503663476,50
289,1954639663,27
290,2072700754,8
291,2644464480,34
292,2143275099,32
293,2700371589,81
294,2222967738,27
295,2147995619,0
296,2506802572,87
297,2116995305,27
298,2540310489,73
299,2891423395,22
300,3024226402,60
301,2035296413,24
302,2195336533,56
303,2464641877,33
304,2801771233,75
305,2114903736,83
306,2185799362,21
307,2034014798,27
308,2092338053,32
309,1246751421,75
310,872346937,52
311,1976287419,10
312,2245245043,80
313,2170477599,12
314,2427808060,27
315,2107278973,16
316,3035264326,26
317,2617421348,34
318,2160322019,81
319,2127943413,36
320,2005593785,83
321,2322372337,13
322,2980474348,7
323,2156124459,50
324,657303947,5
325,2426684341,30
326,2809523648,84
327,2741990850,75
328,2577416261,90
329,2240377934,87
330,1146552122,56
331,1968946418,13
332,2210342868,93
333,2963161366,70
334,2893991977,89
335,1934795277,10
336,2114556793,46
337,2976879891,26
338,2775911323,3
339,1237340740,8
340,2121066447,66
341,2008813448,18
342,2005342331,28
343,1978626389,58
344,2949921621,9
345,2805876552,3
346,2106635155,27
347,2110311360,23
348,1925142233,38
349,2345564939,52
350,2953131333,80
351,3112205068,39
352,1124067468,83
353,2524404780,90
354,2576272957,13
355,2164110430,16
356,2530765921,85
357,1975823847,50
358,2125959294,2
359,3000289658,24
360,3008398993,73
361,2135077585,95
362,3113691554,16
363,2789490837,40
364,2127708732,8
365,2900086664,39
366,1985865447,2
367,2316804223,13
368,2805702001,20
369,2123007045,5
370,2590012445,90
371,2608616564,50
372,56178650,41
373,2250454454,92
374,1213826704,9
375,2442644393,10
376,2149401717,73
377,320191550,25
378,2125010227,50
379,2118864807,89
380,2418356853,17
381,2646204076,85
382,2932886904,73
383,2136614613,42
384,252305792,26
385,2925246910,22
386,2150700994,86
387,2240818474,46
388,2223281929,18
389,2075348205,70
390,2134339138,52
391,3083101389,11
392,1214904236,81
393,2543356779,5
394,3122012522,60
395,2807163829,43
396,2810278545,79
397,2103817332,4
398,2193120884,35
399,2937077228,56
400,2102411411,69
401,2798877141,2
402,2889077688,85
403,2130599054,20
404,2053503556,18
405,1947475420,52
406,3026568260,44
407,330439819,2
408,2166398345,23
409,2019801656,16
410,2311198975,30
411,1925947950,18
412,1953514537,94
413,2106173103,46
414,2618163830,2
415,3160693875,73
416,2634006696,36
417,1206778485,0
418,2993531973,60
419,3010809908,48
420,2804248551,7
421,2751812494,27
422,1967170495,8
423,2068721991,75
424,2028194284,3
425,2162856625,38
426,2616081653,87
427,2142024474,56
