nodeID,nodeLabel,communityID
0,2757224263,41
1,2115476331,1
2,3024211756,2
3,2178886594,63
4,2618141853,22
5,2057511986,13
6,2069502140,65
7,2144473480,7
8,2163764529,8
9,2001490823,7
10,1897952693,10
11,697698037,11
12,2055447201,12
13,1993472708,15
14,2232783234,16
15,1964741435,19
16,2581333314,16
17,2255224426,22
18,197567581,7
19,3209468271,24
20,340272354,13
21,2335159755,85
22,2342889444,37
23,3187636740,83
24,2789572743,29
25,2736448441,72
26,3166696393,70
27,1720152022,2
28,2810842277,33
29,2956653579,64
30,683293601,10
31,2129632916,36
32,2190470770,12
33,2126873260,7
34,2653570299,33
35,2091007943,4
36,2704560645,40
37,2226860402,42
38,2563003155,81
39,1963575078,48
40,2610791219,17
41,20407166,50
42,2887704356,52
43,2078775728,17
44,2758224755,42
45,2888040488,54
46,1577884867,36
47,2145253022,24
48,2317940653,47
49,2467596113,57
50,2278350102,65
51,2610976453,12
52,2002546315,59
53,1990283708,60
54,2790559543,61
55,1978522849,54
56,2901989990,30
57,2013661327,65
58,2012925732,48
59,738000075,36
60,2291068695,7
61,2102180311,47
62,2127232226,66
63,689275890,67
64,1504975278,13
65,1149852051,22
66,2687477041,69
67,2272209977,83
68,2701274589,6
69,335748215,12
70,2306514791,13
71,1745732477,31
72,2028442167,73
73,2147515681,74
74,224822190,1
75,2996081134,54
76,2513462699,75
77,2118093964,54
78,3089006582,67
79,1971520940,4
80,2752304485,33
81,2938347835,63
82,2398678640,65
83,2009504510,74
84,310479324,65
85,1823307805,33
86,2009365751,80
87,2527433917,31
88,2342840688,83
89,2974351647,85
90,2137160079,17
91,2616203821,48
92,2590360929,23
93,215678272,48
94,2000881678,47
95,2053573431,49
96,2988500580,74
97,2308041952,2
98,2279115525,52
99,2585051678,51
100,346410097,33
101,1496465856,7
102,1994783505,80
103,2040542368,55
104,3012369685,30
105,2809405084,80
106,2626425016,81
107,2221699404,74
108,2025923888,7
109,2105501351,50
110,2231307623,22
111,2129095121,9
112,2311198975,81
113,2808771937,1
114,2803100374,7
115,2087725908,62
116,1934144927,11
117,316972647,52
118,161287833,7
119,2398931686,1
120,2108112149,65
121,1526415177,10
122,2055638512,80
123,286869207,53
124,3041841827,65
125,2967898998,70
126,2660589482,36
127,2803280715,10
128,3012955513,63
129,2618141127,33
130,1996873599,12
131,721364518,64
132,2592477237,7
133,2111858859,74
134,2792645639,81
135,2671071675,70
136,2244516517,50
137,2945573408,81
138,2632165718,12
139,1989638057,30
140,2051281973,16
141,2913126283,83
142,2894018862,85
143,2014020587,13
144,3131682962,72
145,2138580305,76
146,2774524705,31
147,2424058761,70
148,2131504566,74
149,2098281982,65
150,2289691656,76
151,2001181911,53
